BlueDriver Data Log
Sep. 15, 2019 5:15:30 p.m.
Time (s),Absolute Throttle Position (%),Intake Air Temperature (°C),Engine RPM (rpm),Intake Manifold Absolute Pressure (kPa),Vehicle Speed (km/h)
1483.9,10.6,40,805,30.5,0
1485.8,10.6,40,799,30.3,0
1487.7,10.6,41,808,30.8,0
1489.6,10.6,41,812,31.9,0
1491.5,10.6,41,818,31.0,0
1493.4,10.6,41,815,30.5,0
1495.3,10.5,41,823,31.6,0
1497.2,10.6,41,829,31.8,0
1499.1,10.6,41,826,31.0,0
1501.0,10.6,42,819,31.0,0
1502.9,10.6,42,822,31.0,0
1504.8,10.6,42,823,31.9,0
1506.7,10.6,42,818,31.0,0
1508.6,10.6,42,822,32.0,0
1510.5,10.7,42,824,29.9,0
1512.4,10.9,42,820,34.5,0
1514.3,10.6,42,832,33.0,0
1516.2,10.6,43,828,32.0,0
1518.1,10.6,43,814,33.0,0
1520.0,10.6,43,826,33.0,0
1521.9,10.6,43,827,32.5,0
1523.8,10.6,44,827,32.5,0
1525.7,10.2,44,821,32.3,0
1527.6,10.6,44,825,30.3,0
1529.5,10.6,44,818,31.1,0
1531.4,10.6,44,819,31.1,0
1533.3,10.5,44,821,31.9,0
1535.2,10.6,43,823,31.9,0
1537.1,10.6,43,818,31.9,0
1539.0,10.6,43,834,31.0,0
1540.9,10.6,43,822,31.6,0
1542.8,10.6,43,827,31.2,0
1544.7,10.6,43,832,30.3,0
1546.6,10.6,43,813,31.0,0
1548.5,10.6,43,824,31.0,0
1550.4,10.6,43,823,31.0,0
1552.3,10.6,43,830,31.2,0
1554.2,10.5,43,823,30.3,0
1556.1,10.6,43,822,31.8,0
1558.0,10.6,43,816,31.0,0
1559.9,10.6,43,827,31.0,0
1561.8,10.6,43,816,31.0,0
1563.7,10.6,43,835,30.3,0
1565.6,10.6,43,824,30.5,0
1567.5,10.6,43,830,31.0,0
1569.4,10.6,43,819,30.4,0
1571.3,10.6,43,824,30.5,0
1573.2,10.6,43,818,30.0,0
1575.1,10.6,43,831,31.0,0
1577.0,10.2,43,820,30.0,0
1578.9,10.6,43,829,31.0,0
1580.8,10.6,43,832,30.0,0
1582.7,10.6,43,821,30.0,0
1584.6,10.3,43,823,31.6,0
1586.5,11.3,43,834,34.0,0
1588.4,10.6,43,836,31.1,0
1590.3,10.6,43,821,32.0,0
1592.2,10.6,43,826,31.1,0
1594.1,10.6,44,826,31.0,0
1596.0,10.6,44,829,31.6,0
1597.9,10.6,44,820,31.5,0
1599.8,10.6,44,822,32.2,0
1601.7,10.2,44,809,31.3,0
1603.6,10.5,44,819,30.0,0
1605.5,10.5,44,822,30.9,0
1607.4,10.4,44,816,30.1,0
1609.3,10.6,44,813,30.2,0
1611.2,10.6,43,822,30.0,0
1613.1,10.6,43,827,30.0,0
1615.0,10.6,43,820,31.6,0
1616.9,10.6,43,829,30.3,0
1618.8,10.6,43,821,31.0,0
1620.7,10.6,43,827,30.0,0
1622.6,10.6,43,828,30.0,0
1624.5,10.6,43,826,30.6,0
1626.4,10.6,43,809,31.0,0
1628.3,10.6,43,820,31.0,0
1630.2,10.6,43,827,31.6,0
1632.1,10.6,43,827,31.0,0
1634.0,10.6,43,827,30.5,0
1635.9,10.6,43,822,31.1,0
1637.8,10.6,43,830,32.0,0
1639.7,10.6,43,821,31.7,0
1641.6,10.6,43,834,31.0,0
1643.5,10.6,44,825,31.2,0
1645.4,10.6,43,830,31.5,0
1647.3,10.6,43,821,31.7,0
1649.2,10.6,43,826,30.7,0
1651.1,10.6,44,827,31.0,0
1653.0,10.6,44,829,31.0,0
1654.9,10.2,44,824,30.4,0
1656.8,10.6,44,823,30.0,0
1658.7,10.6,44,831,31.1,0
1660.6,11.0,44,825,32.8,0
1662.5,10.6,43,839,32.6,0
1664.4,10.6,43,831,31.7,0
1666.3,10.6,44,824,31.3,0
1668.2,10.6,44,816,31.7,0
1670.1,10.6,44,828,31.6,0
1672.0,10.6,44,822,31.0,0
1673.9,10.6,44,827,31.0,0
1675.8,10.2,44,813,30.7,0
1677.7,10.6,44,822,29.8,0
1679.6,10.6,44,823,30.0,0
1681.5,10.6,44,818,27.0,0
1683.4,10.6,44,818,15.0,0
1685.3,10.6,44,821,30.1,0
1687.2,10.6,44,825,31.0,0
1689.1,10.6,44,825,30.8,0
1691.0,10.6,44,829,30.2,0
1692.9,10.6,44,821,30.6,0
1694.8,10.6,44,824,31.5,0
1696.7,10.6,44,833,31.0,0
1698.6,10.3,44,822,30.3,0
1700.5,10.6,44,829,30.0,0
1702.4,10.6,44,824,31.0,0
1704.3,10.6,44,822,31.0,0
1706.2,10.6,44,822,31.0,0
1708.1,10.6,44,824,30.0,0
1710.0,10.6,44,827,30.4,0
1711.9,10.6,44,814,30.0,0
1713.8,10.6,44,816,31.0,0
1715.7,10.6,44,826,31.8,0
1717.6,10.6,44,821,31.0,0
1719.5,10.6,44,835,31.0,0
1721.4,10.6,44,832,30.0,0
1723.3,10.6,44,835,31.0,0
1725.2,10.2,44,816,29.6,0
1727.1,10.6,44,827,30.4,0
1729.0,10.6,44,823,30.0,0
1730.9,10.5,44,833,30.0,0
1732.8,10.5,44,820,31.7,0
1734.7,10.6,44,833,30.0,0
1736.6,10.8,44,815,33.4,0
1738.5,10.6,44,842,33.4,0
1740.4,10.6,44,830,32.2,0
1742.3,10.6,44,830,31.7,0
1744.2,10.6,44,826,32.0,0
1746.1,10.6,44,815,33.0,0
1748.0,10.6,44,823,32.0,0
1749.9,10.6,44,828,31.1,0
1751.8,10.2,44,814,30.0,0
1753.7,10.3,44,819,30.5,0
1755.6,10.6,44,817,30.0,0
1757.5,10.6,44,826,30.8,0
1759.4,10.6,44,823,30.7,0
1761.3,10.6,44,817,30.0,0
1763.2,10.6,44,832,30.2,0
1765.1,10.6,44,823,30.6,0
1767.0,10.6,44,825,30.5,0
1768.9,10.6,44,818,30.6,0
1770.8,10.6,44,826,30.7,0
1772.7,10.6,43,829,30.0,0
1774.6,10.6,43,824,30.0,0
1776.5,10.6,43,823,30.0,0
1778.4,10.6,43,828,31.0,0
1780.3,10.6,43,841,30.0,0
1782.2,10.6,43
